"Timestamp","Email","Status","Date","Episode Number","Episode ID","Setup","Sound Check","Mic Check","Stream Start","Show Start","Intermission 1 Start","Intermission 1 End","Intermission 2 Start","Intermission 2 End","Intermission 3 Start","Intermission 3 End","Show Stop","Stream End","Teardown","Notes","Stream Duration","Show Duration","Intermission Duration","Production Code",
"6/20/2024 11:03:19 PM","test@dev.local","Submitted","6/20/2024","40","20240620","6/20/2024 5:27:00 PM","5:33 PM","6:21 PM","6:40 PM","6:53 PM","8:04 PM","8:15 PM","9:54 PM","10:04 PM","","","10:55 PM","10:57 PM","6/20/2024 11:00 PM","Casts:
- Please try to be more on time. THIS IS NOT ABOUT THE WEATHER DELAY. I REPEAT, THIS IS NOT ABOUT THE WEATHER DELAY.
- Good job on a hard combat.","04:17","03:41","00:21","IV040",
"6/6/2024 11:30:09 PM","test@dev.local","Submitted","6/6/2024","39","20240606","6/6/2024 6:02:00 PM","6:14 PM","6:20 PM","6:20 PM","6:30 PM","8:29 PM","8:39 PM","10:23 PM","10:27 PM","","","10:53 PM","10:56 PM","6/6/2024 10:58 PM","Ghi: make “on boat” playlist.
Ghi: ""taure's blood curdling scream"" = https://www.tiktok.com/@ike.battle/video/7012368817431121157.
Talents: please speak in character when doing mic checks.
Clawsie: mic was weird. Check with Ghi. DO NOT increase your gain as a solution. That is NOT the solution. DO NOT change mic settings mid session without checking with Ghi first.
Talents: our stage whispers needs work. Some of us are stage whispering too far from the mic.","04:36","04:09","00:14","IV039",
"5/21/2024 2:02:39 AM","test@dev.local","Submitted","5/9/2024","38","20240509","5/9/2024 4:43:00 PM","6:08 PM","6:17 PM","6:20 PM","6:30 PM","8:27 PM","8:37 PM","","","","","10:24 PM","10:27 PM","5/9/2024 10:30 PM","N/A","04:07","03:44","00:10","IV038",
"4/25/2024 11:00:50 PM","test@dev.local","Submitted","4/25/2024","37","20240425","4/25/2024 6:27:00 PM","6:31 PM","6:47 PM","6:50 PM","7:00 PM","9:08 PM","9:18 PM","","","","","10:54 PM","10:57 PM","4/25/2024 11:00 PM","WTF","04:07","03:44","00:10","IV037",
"4/11/2024 10:27:11 PM","test@dev.local","Submitted","4/11/2024","36","20240411","4/11/2024 5:26:00 PM","5:29 PM","6:19 PM","6:20 PM","6:30 PM","8:24 PM","8:33 PM","","","","","10:21 PM","10:24 PM","4/11/2024 10:27 PM","N/A.","04:04","03:42","00:09","IV036",
"3/28/2024 10:53:40 PM","test@dev.local","Submitted","3/28/2024","35","20240328","3/28/2024 6:03:00 PM","6:09 PM","6:16 PM","6:20 PM","6:30 PM","8:27 PM","8:37 PM","","","","","10:46 PM","10:49 PM","3/28/2024 10:53 PM","N/A","04:29","04:06","00:10","IV035",
"3/14/2024 11:05:52 PM","test@dev.local","Submitted","3/14/2024","34","20240314","3/14/2024 1:07:00 AM","4:49 PM","6:49 PM","6:50 PM","7:00 PM","8:57 PM","9:07 PM","","","","","10:58 PM","11:02 PM","3/14/2024 11:04 PM","Using StreamKit v0.6 (WIP). Weather delay. See Call Sheet for more info.","04:12","03:48","00:10","IV034",
"3/8/2024 7:03:20 PM","test@dev.local","Submitted","2/29/2024","33","20240229","2/29/2024 5:23:00 PM","5:24 PM","6:18 PM","6:20 PM","6:30 PM","8:26 PM","8:36 PM","9:29 PM","9:39 PM","","","10:34 PM","10:38 PM","2/29/2024 10:41 PM","N/A","04:18","03:44","00:20","IV033",
"3/8/2024 6:10:59 PM","test@dev.local","Submitted","2/15/2024","32","20240215","2/15/2024 4:56:00 PM","4:59 PM","6:19 PM","6:20 PM","6:30 PM","8:12 PM","8:22 PM","","","","","10:12 PM","10:13 PM","2/15/2024 10:16 PM","02:18:00 Maskless Krios","03:53","03:32","00:10","IV032",
"3/8/2024 6:12:37 PM","test@dev.local","Submitted","2/1/2024","31","20240201","2/1/2024 4:41:00 PM","4:50 PM","6:20 PM","6:20 PM","6:30 PM","8:34 PM","8:45 PM","","","","","10:30 PM","10:33 PM","2/1/2024 10:42 AM","N/A","04:13","03:49","00:11","IV031",
